,movie_title,comb
102,harry potter and the goblet of fire,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery
103,hancock,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama
104,i am legend,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi
105,charlie and the chocolate factory,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy
106,ratatouille,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy
107,batman begins,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure
108,madagascar: escape 2 africa,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family
109,night at the museum: battle of the smithsonian,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
110,x-men origins: wolverine,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
111,the matrix revolutions,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-Fi
112,frozen,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure Animation Comedy Family Fantasy Musical
113,the matrix reloaded,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-Fi
114,thor: the dark world,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure Fantasy
115,mad max: fury road,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi Thriller
116,angels & demons,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller
117,thor,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure Fantasy
118,bolt,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama Family
119,g-force,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi
120,wrath of the titans,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure Fantasy
121,dark shadows,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton Comedy Fantasy Horror
122,mission: impossible - rogue nation,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie Action Adventure Thriller
123,the wolfman,Anthony Hopkins Simon Merrells Art Malik Joe Johnston Drama Fantasy Horror Thriller
124,the legend of tarzan,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
125,bee movie,Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner Adventure Animation Comedy Family
126,kung fu panda 2,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson Action Adventure Animation Comedy Family
127,the last airbender,Seychelle Gabriel Noah Ringer Aasif Mandvi M. Night Shyamalan Action Adventure Family Fantasy
128,mission: impossible iii,Philip Seymour Hoffman Tom Cruise Eddie Marsan J.J. Abrams Action Adventure Thriller
129,white house down,Channing Tatum Jake Weber Matt Craven Roland Emmerich Action Drama Thriller
130,mars needs moms,Elisabeth Harnois Dan Fogler Tom Everett Scott Simon Wells Action Adventure Animation Comedy Family Sci-Fi
131,flushed away,Hugh Jackman Kate Winslet David Suchet David Bowers Adventure Animation Comedy Family
132,mr. peabody & sherman,Ty Burrell Zach Callison Karan Brar Rob Minkoff Adventure Animation Comedy Family Sci-Fi
133,troy,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen Adventure
134,madagascar 3: europe's most wanted,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell Adventure Animation Comedy Family
135,die another day,Toby Stephens Colin Salmon Rick Yune Lee Tamahori Action Adventure Thriller
136,armageddon,Bruce Willis Steve Buscemi Will Patton Michael Bay Action Adventure Sci-Fi Thriller
137,men in black ii,Will Smith Rosario Dawson Rip Torn Barry Sonnenfeld Action Adventure Comedy Family Fantasy Mystery Sci-Fi
138,beowulf,Robin Wright Anthony Hopkins Sebastian Roché Robert Zemeckis Action Adventure Animation Fantasy
139,kung fu panda 3,J.K. Simmons Angelina Jolie Pitt Wayne Knight Alessandro Carloni Action Adventure Animation Comedy Family
140,mission: impossible - ghost protocol,Tom Cruise Jeremy Renner Michael Nyqvist Brad Bird Action Adventure Thriller
141,rise of the guardians,Hugh Jackman Kamil McFadden Khamani Griffin Peter Ramsey Adventure Animation Family Fantasy
142,fun with dick and jane,John Michael Higgins Richard Burgi David Herman Dean Parisot Comedy Crime
143,the last samurai,Tom Cruise Tony Goldwyn Chad Lindberg Edward Zwick Action Drama History War
144,star trek,Chris Hemsworth Leonard Nimoy Bruce Greenwood J.J. Abrams Action Adventure Sci-Fi
145,spider-man,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
146,how to train your dragon 2,Gerard Butler Djimon Hounsou America Ferrera Dean DeBlois Action Adventure Animation Comedy Family Fantasy
147,gods of egypt,Gerard Butler Elodie Yung Bryan Brown Alex Proyas Action Adventure Fantasy
148,stealth,Sam Shepard Joe Morton Richard Roxburgh Rob Cohen Action Adventure Sci-Fi Thriller
149,watchmen,Matt Frewer Billy Crudup Stephen McHattie Zack Snyder Action Drama Mystery Sci-Fi
150,lethal weapon 4,Jet Li Rene Russo Darlene Love Richard Donner Action Crime Thriller
151,hulk,Kevin Rankin Regi Davis Celia Weston Ang Lee Action Sci-Fi
152,g.i. joe: retaliation,Channing Tatum Dwayne Johnson Elodie Yung Jon M. Chu Action Adventure Sci-Fi Thriller
153,final fantasy: the spirits within,Steve Buscemi Ming-Na Wen Jean Simmons Hironobu Sakaguchi Action Adventure Animation Fantasy Romance Sci-Fi
154,captain america: the first avenger,Chris Evans Dominic Cooper Hayley Atwell Joe Johnston Action Adventure Sci-Fi
155,the world is not enough,Colin Salmon Maria Grazia Cucinotta Desmond Llewelyn Michael Apted Action Adventure Thriller
156,master and commander: the far side of the world,James D'Arcy Lee Ingleby David Threlfall Peter Weir Action Adventure Drama History War
157,happy feet 2,Robin Williams Brad Pitt Common George Miller Animation Comedy Family Musical
158,the incredible hulk,Ty Burrell Peter Mensah William Hurt Louis Leterrier Action Adventure Sci-Fi
159,miami vice            ,Don Johnson Philip Michael Thomas John Diehl unknown Action Crime Drama Mystery Thriller
160,the bfg,Mark Rylance Penelope Wilton Rafe Spall Steven Spielberg Adventure Family Fantasy
161,the revenant,Leonardo DiCaprio Tom Hardy Lukas Haas Alejandro G. Iñárritu Adventure Drama Thriller Western
162,turbo,Ryan Reynolds Snoop Dogg Ben Schwartz David Soren Adventure Animation Comedy Family Sport
163,rango,Johnny Depp Ray Winstone Stephen Root Gore Verbinski Adventure Animation Comedy Family Western
164,penguins of madagascar,Benedict Cumberbatch Annet Mahendru Andy Richter Eric Darnell Adventure Animation Comedy Family
165,the bourne ultimatum,Matt Damon Edgar Ramírez Albert Finney Paul Greengrass Action Mystery Thriller
166,kung fu panda,Angelina Jolie Pitt Wayne Knight Dan Fogler Mark Osborne Action Adventure Animation Comedy Family
167,ant-man,Judy Greer Hayley Atwell T.I. Peyton Reed Action Adventure Comedy Sci-Fi
168,the hunger games: catching fire,Jennifer Lawrence Josh Hutcherson Sandra Ellis Lafferty Francis Lawrence Adventure Sci-Fi Thriller
169,the twilight saga: breaking dawn - part 2,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon Adventure Drama Fantasy Romance
170,war of the worlds,Tom Cruise Lisa Ann Walter Rick Gonzalez Steven Spielberg Adventure Sci-Fi Thriller
171,bad boys ii,Will Smith Henry Rollins Jordi Mollà Michael Bay Action Comedy Crime Thriller
172,puss in boots,Salma Hayek Constance Marie Amy Sedaris Chris Miller Action Adventure Animation Comedy Family Fantasy
173,salt,Angelina Jolie Pitt Andre Braugher August Diehl Phillip Noyce Action Crime Mystery Thriller
174,noah,Anthony Hopkins Emma Watson Logan Lerman Darren Aronofsky Action Adventure Drama
175,the adventures of tintin,Toby Jones Mackenzie Crook Tony Curran Steven Spielberg Action Adventure Family Mystery
176,harry potter and the prisoner of azkaban,Daniel Radcliffe Gary Oldman Rupert Grint Alfonso Cuarón Adventure Family Fantasy Mystery
177,australia,Essie Davis Bryan Brown Eddie Baroo Baz Luhrmann Adventure Drama Romance War
178,after earth,Will Smith Zoë Kravitz Glenn Morshower M. Night Shyamalan Action Adventure Sci-Fi
179,dinosaur,Alfre Woodard D.B. Sweeney Della Reese Eric Leighton Adventure Animation Family Thriller
180,harry potter and the deathly hallows: part ii,Rupert Grint Dave Legeno Ralph Ineson Matt Birch Action Fantasy
181,night at the museum: secret of the tomb,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
182,megamind,J.K. Simmons Brad Pitt Will Ferrell Tom McGrath Action Animation Comedy Family Sci-Fi
183,harry potter and the sorcerer's stone,Daniel Radcliffe Fiona Shaw Verne Troyer Chris Columbus Adventure Family Fantasy
184,r.i.p.d.,Ryan Reynolds Jeff Bridges Stephanie Szostak Robert Schwentke Action Comedy Fantasy
185,godzilla resurgence,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno Action Adventure Drama Horror Sci-Fi
186,pirates of the caribbean: the curse of the black pearl,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
187,harry potter and the deathly hallows: part i,Rupert Grint Toby Jones Alfred Enoch Matt Birch Fantasy
188,the hunger games: mockingjay - part 1,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi Thriller
189,the da vinci code,Tom Hanks Seth Gabel Jürgen Prochnow Ron Howard Mystery Thriller
190,rio 2,Miguel Ferrer Rachel Crow Jeffrey Garcia Carlos Saldanha Adventure Animation Comedy Family Musical
191,x-men 2,Hugh Jackman Bruce Davison Aaron Stanford Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
192,fast five,Paul Walker Vin Diesel Dwayne Johnson Justin Lin Action Crime Thriller
193,sherlock holmes: a game of shadows,Robert Downey Jr. Eddie Marsan Paul Anderson Guy Ritchie Action Adventure Crime Mystery Thriller
194,the 13th warrior,Tony Curran Vladimir Kulich Clive Russell John McTiernan Action Adventure History
195,the bourne legacy,Jeremy Renner Scott Glenn Stacy Keach Tony Gilroy Action Adventure Thriller
196,batman & robin,Michael Gough Vivica A. Fox John Glover Joel Schumacher Action
197,how the grinch stole christmas,Clint Howard T.J. Thyne Molly Shannon Ron Howard Comedy Family Fantasy
198,the day after tomorrow,Jake Gyllenhaal Dennis Quaid Sela Ward Roland Emmerich Action Adventure Sci-Fi Thriller
199,mission: impossible ii,Tom Cruise Dougray Scott Richard Roxburgh John Woo Action Adventure Thriller
200,the perfect storm,Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Wolfgang Petersen Action Adventure Drama Thriller
201,fantastic 4: rise of the silver surfer,Chris Evans Ioan Gruffudd Andre Braugher Tim Story Action Adventure Sci-Fi Thriller
202,life of pi,Suraj Sharma Rafe Spall Tabu Ang Lee Adventure Drama Fantasy
203,ghost rider,Nicolas Cage Matt Long Peter Fonda Mark Steven Johnson Action Fantasy Thriller
204,jason bourne,Matt Damon Riz Ahmed Ato Essandoh Paul Greengrass Action Thriller
205,charlie's angels: full throttle,Demi Moore Bernie Mac Justin Theroux McG Action Adventure Comedy Crime
206,prometheus,Michael Fassbender Charlize Theron Sean Harris Ridley Scott Adventure Mystery Sci-Fi
207,stuart little 2,Nathan Lane Brad Garrett Melanie Griffith Rob Minkoff Adventure Animation Comedy Family Fantasy
208,elysium,Matt Damon Sharlto Copley Alice Braga Neill Blomkamp Action Drama Sci-Fi Thriller
209,the chronicles of riddick,Vin Diesel Alexa Davalos Christina Cox David Twohy Action Adventure Sci-Fi Thriller
210,speed racer,Scott Porter Kick Gurry Nicholas Elia Lana Wachowski Action Family Sport
211,how do you know,Shelley Conn Domenick Lombardozzi Teyonah Parris James L. Brooks Comedy Drama Romance
212,knight and day,Tom Cruise Marc Blucas Jordi Mollà James Mangold Action Comedy Romance
213,oblivion,Morgan Freeman Tom Cruise Zoë Bell Joseph Kosinski Action Adventure Mystery Sci-Fi
214,star wars: episode iii - revenge of the sith,Natalie Portman Christopher Lee Hayden Christensen George Lucas Action Adventure Fantasy Sci-Fi
215,star wars: episode ii - attack of the clones,Natalie Portman Christopher Lee Hayden Christensen George Lucas Action Adventure Fantasy Sci-Fi
216,"monsters, inc.",Steve Buscemi John Ratzenberger James Coburn Pete Docter Adventure Animation Comedy Family Fantasy
217,the wolverine,Hugh Jackman Tao Okamoto Rila Fukushima James Mangold Action Adventure Sci-Fi Thriller
218,star wars: episode i - the phantom menace,Natalie Portman Liam Neeson Ian McDiarmid George Lucas Action Adventure Fantasy Sci-Fi
219,the croods,Ryan Reynolds Emma Stone Nicolas Cage Kirk De Micco Adventure Animation Comedy Family Fantasy
220,asterix at the olympic games,Alain Delon Santiago Segura Vanessa Hessler Frédéric Forestier Adventure Comedy Family Fantasy
221,windtalkers,Nicolas Cage Roger Willie Noah Emmerich John Woo Action Drama War
222,the huntsman: winter's war,Chris Hemsworth Sam Claflin Charlize Theron Cedric Nicolas-Troyan Action Adventure Drama Fantasy
223,gravity,Phaldut Sharma Basher Savage Amy Warren Alfonso Cuarón Adventure Drama Sci-Fi Thriller
224,dante's peak,Jamie Renée Smith Grant Heslov Tzi Ma Roger Donaldson Action Adventure Thriller
225,teenage mutant ninja turtles: out of the shadows,Stephen Amell Noel Fisher Brad Garrett Dave Green Action Adventure Comedy Sci-Fi
226,night at the museum,Robin Williams Rami Malek Steve Coogan Shawn Levy Action Adventure Comedy Family Fantasy
227,san andreas,Dwayne Johnson Ioan Gruffudd Archie Panjabi Brad Peyton Action Adventure Drama Thriller
228,tomorrow never dies,Vincent Schiavelli Colin Salmon Joe Don Baker Roger Spottiswoode Action Adventure Thriller
229,the patriot,Heath Ledger Adam Baldwin Tom Wilkinson Roland Emmerich Action Drama History War
230,ocean's twelve,Brad Pitt Julia Roberts Mini Anden Steven Soderbergh Crime Thriller
231,mr. & mrs. smith,Brad Pitt Angelina Jolie Pitt Stephanie March Doug Liman Action Comedy Crime Romance Thriller
232,insurgent,Kate Winslet Theo James Mekhi Phifer Robert Schwentke Adventure Sci-Fi Thriller
233,the aviator,Leonardo DiCaprio Adam Scott Frances Conroy Martin Scorsese Biography Drama
234,gulliver's travels,James Corden Catherine Tate Olly Alexander Rob Letterman Adventure Comedy Family Fantasy
235,the green hornet,Christoph Waltz Tom Wilkinson Chad L. Coleman Michel Gondry Action Comedy Crime Sci-Fi Thriller
236,the a-team            ,George Peppard Dirk Benedict Dwight Schultz unknown Action Adventure Crime
237,300: rise of an empire,Eva Green Sullivan Stapleton Peter Mensah Noam Murro Action Drama Fantasy War
238,the smurfs,Mahadeo Shivraj Tim Gunn Madison McKinley Raja Gosnell Adventure Animation Comedy Family Fantasy
239,home on the range,Steve Buscemi Roseanne Barr G.W. Bailey Will Finn Animation Comedy Family Music Western
240,allegiant,Naomi Watts Theo James Zoë Kravitz Robert Schwentke Action Adventure Mystery Sci-Fi Thriller
241,real steel,Hugh Jackman Torey Michael Adkins Olga Fonda Shawn Levy Action Drama Sci-Fi Sport
242,the smurfs 2,Jacob Tremblay Nancy O'Dell Vanessa Matsui Raja Gosnell Adventure Animation Comedy Family Fantasy
243,speed 2: cruise control,Jason Patric Temuera Morrison Lois Chiles Jan de Bont Action Crime Romance Thriller
244,ender's game,Harrison Ford Moises Arias Aramis Knight Gavin Hood Action Sci-Fi
245,live free or die hard,Bruce Willis Jonathan Sadowski Cyril Raffaelli Len Wiseman Action Adventure Thriller
246,the lord of the rings: the fellowship of the ring,Christopher Lee Orlando Bloom Billy Boyd Peter Jackson Action Adventure Drama Fantasy
247,ali,Will Smith Jada Pinkett Smith Joe Morton Michael Mann Biography Drama Sport
248,the cat in the hat,Sean Hayes Kelly Preston Spencer Breslin Bo Welch Adventure Comedy Family Fantasy
249,"i, robot",Will Smith Bruce Greenwood Chi McBride Alex Proyas Action Mystery Sci-Fi Thriller
250,kingdom of heaven,Liam Neeson Orlando Bloom Philip Glenister Ridley Scott Action Adventure Drama History War
251,stuart little,Chazz Palminteri Nathan Lane Jeffrey Jones Rob Minkoff Adventure Comedy Family Fantasy
252,the princess and the frog,Oprah Winfrey Jenifer Lewis Anika Noni Rose Ron Clements Animation Family Fantasy Musical Romance
253,the martian,Matt Damon Donald Glover Benedict Wong Ridley Scott Adventure Drama Sci-Fi
